#,Name,Team,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C
416,Tim Locastro,ARI,-0.7,-2.6,-0.1,-0.1,0.8,0,0,-0.51,-3.66,-0.36,-1.07,5.37,0,0
417,Dexter Fowler,LAA,-0.7,0.1,-0.2,0.2,-0.3,-0.3,0,-1.72,0.71,-4.30,3.41,-2.19,-8.81,0
418,Odubel Herrera,PHI,-0.7,-1.4,2.5,-0.6,-0.9,0.1,0,-0.75,-4.50,21.23,-2.53,-4.87,3.84,0
419,Johan Oviedo,STL,-0.7,-0.1,0.5,-0.2,0,0,0,-5.30,-3.74,47.89,-4.02,0,0,0
420,Dustin May,LAD,-0.7,-0.1,0,-0.2,0,0,0,-6.33,-2.32,0,-16.74,0,0,0
421,Aaron Nola,PHI,-0.7,-1.1,-0.4,0.1,-0.1,0,0,-1.91,-8.03,-19.60,2.71,-5.69,0,0
422,Manny Pina,MIL,-0.7,-0.3,0.8,-0.5,-0.2,-0.2,0,-0.84,-0.80,10.43,-3.53,-2.83,-9.03,0
423,Francisco Lindor,NYM,-0.7,-0.7,-1.5,0.0,2.0,-0.2,0,-0.27,-0.94,-4.27,0.00,2.36,-17.25,0
424,Johnny Cueto,SFG,-0.7,-0.4,0,0.0,0,0,0,-4.76,-10.16,0,1.01,0,0,0
425,Andy Ibanez,TEX,-0.7,-0.3,0.2,0,-0.1,0,0,-5.51,-3.11,8.76,0,-6.39,0,0
426,Jordan Holloway,MIA,-0.7,0,0.0,0,0,0,0,-5.60,0,0.00,0,0,0,0
427,Michael Chavis,BOS,-0.7,-0.2,0.8,-0.4,1.3,0,0,-4.91,-21.32,8.91,-17.76,64.16,0,0
428,Christian Vazquez,BOS,-0.7,-4.4,1.8,0.6,-0.2,0.6,0,-0.28,-6.45,4.62,1.63,-0.31,6.95,0
429,Yadiel Hernandez,WSN,-0.8,-0.8,1.2,-1.6,0.9,0.1,0,-0.83,-2.12,7.35,-4.19,3.77,0.94,0
430,Hanser Alberto,KCR,-0.8,-1.2,-0.6,-0.2,0.5,0,0,-0.73,-1.82,-4.99,-0.63,1.49,0,0
431,Jonathan Villar,NYM,-0.8,-0.9,-0.3,0.6,1.6,-0.2,0,-0.51,-2.10,-4.21,1.97,2.79,-3.72,0
432,Andrew Stevenson,WSN,-0.8,-2.7,-0.1,0.2,2.4,-0.2,0,-0.84,-5.46,-0.74,0.63,7.65,-6.19,0
433,Ryan McKenna,BAL,-0.8,-0.1,0.4,0.7,-0.4,0,0,-1.71,-0.90,4.69,12.21,-1.67,0,0
434,Chas McCormick,HOU,-0.8,-0.2,0.3,0.1,-0.5,0.0,0,-1.21,-0.71,1.80,0.97,-4.74,3.19,0
435,Sandy Alcantara,MIA,-0.8,-0.9,-0.3,-0.8,-0.2,0,0,-1.57,-12.37,-6.54,-5.43,-5.65,0,0
436,Orlando Arcia,MIL,-0.8,-0.8,0,-0.4,0,0,0,-3.64,-5.19,0,-8.42,0,0,0
437,Michael Pineda,MIN,-0.8,-0.2,0,0,0,0,0,-10.58,-18.77,0,0,0,0,0
438,Billy McKinney,MIL,-0.8,-1.8,0.5,-1.6,1.0,-0.2,0,-0.39,-2.70,2.60,-3.29,2.27,-3.88,0
439,Jorge Alfaro,MIA,-0.9,0.7,-0.2,-0.4,-0.6,0,0,-1.21,2.88,-2.01,-2.36,-4.79,0,0
440,Charlie Morton,ATL,-0.9,0,0.0,-0.2,-0.2,0,0,-4.01,0,3.39,-6.18,-11.22,0,0
441,Anthony Bemboom,LAA,-0.9,0.2,0.0,-1.0,0.3,0,0,-2.29,5.67,1.70,-6.52,3.92,0,0
442,Erick Fedde,WSN,-0.9,-0.2,-0.2,0.0,0.0,0,0,-2.90,-9.38,-18.14,2.72,-0.20,0,0
443,Abraham Toro,HOU,-0.9,-1.4,0,-0.1,-0.3,0,0,-4.30,-11.58,0,-0.61,-3.68,0,0
444,Eddie Rosario,CLE,-0.9,-1.1,-1.2,0.1,-0.6,0.3,0,-0.43,-1.01,-7.80,0.20,-0.95,10.41,0
445,Carlos Martinez,STL,-0.9,-1.1,0,-0.2,0,0,0,-3.49,-7.01,0,-6.59,0,0,0
446,Anderson Tejeda,TEX,-0.9,-0.8,-0.4,-0.5,-0.5,0,0,-5.35,-8.41,-3.90,-2.33,-6.68,0,0
447,Seth Brown,OAK,-0.9,2.8,-0.8,1.0,0.3,0.1,0,-0.69,5.43,-4.02,2.58,1.38,0.45,0
448,Freddy Peralta,MIL,-0.9,-1.0,0,0,0,0,0,-2.95,-13.78,0,0,0,0,0
449,Magneuris Sierra,MIA,-0.9,-0.5,-0.3,-0.7,-0.9,-0.1,0,-1.17,-1.89,-25.32,-6.72,-4.12,-2.62,0
450,Jonathan Lucroy,WSN,-0.9,0.0,0.1,0.8,0.3,0,0,-2.97,-0.25,7.00,10.80,14.64,0,0
451,Edmundo Sosa,STL,-0.9,0.4,0.1,0,-0.5,0,0,-3.87,2.08,1.38,0,-8.41,0,0
452,Josh Donaldson,MIN,-0.9,-0.1,0.0,-0.3,4.7,0.0,0,-0.63,-0.17,0.16,-2.33,11.08,0.67,0
453,Hernan Perez,WSN,-0.9,-0.5,-0.2,-1.5,-0.2,0,0,-2.41,-3.52,-5.75,-8.39,-1.80,0,0
454,Alex Dickerson,SFG,-1.0,-0.4,0.6,-0.5,-0.9,-0.4,0,-0.63,-0.49,2.75,-2.17,-1.94,-7.27,0
455,Wilson Ramos,DET,-1.0,1.5,0.4,0.0,-0.5,1.2,0,-0.56,1.27,2.97,-0.20,-2.20,13.58,0
456,Ryan Weathers,SDP,-1.0,-0.8,0.1,0.0,0,0,0,-5.19,-15.28,3.60,0.00,0,0,0
457,Alex Wood,SFG,-1.0,-0.5,0,0.0,0.0,0,0,-2.83,-5.79,0,2.72,0.46,0,0
458,Daniel Johnson Jr.,CLE,-1.0,-0.4,0,0.0,-0.9,0,0,-4.77,-6.79,0,0.86,-8.28,0,0
459,Juan Lagares,LAA,-1.0,0.2,0.3,0.3,-0.8,0,0,-4.78,1.69,3.46,5.80,-7.42,0,0
460,Sonny Gray,CIN,-1.0,-0.1,0,-0.1,0,0.0,0,-4.57,-2.40,0,-11.55,0,4.48,0
461,Mitch Keller,PIT,-1.0,0.0,0,0.0,0.0,0,0,-4.39,-1.83,0,2.03,0.00,0,0
462,Zach Davies,CHC,-1.0,-0.3,0,0,0.0,0,0,-4.40,-8.88,0,0,-4.00,0,0
463,Renato Nunez,DET,-1.0,1.1,-0.5,-0.3,-0.5,0,0,-2.23,3.11,-6.81,-9.37,-2.98,0,0
464,Harrison Bader,STL,-1.0,-0.2,0,1.6,-0.2,0,0,-1.51,-0.28,0,11.08,-1.69,0,0
465,Riley Smith,ARI,-1.0,-0.4,-0.2,0.1,0,0,0,-4.11,-10.30,-24.05,2.61,0,0,0
466,Vince Velasquez,PHI,-1.0,0.4,-0.2,0.1,-0.2,0,0,-4.49,6.13,-16.74,3.29,-18.14,0,0
467,Ender Inciarte,ATL,-1.0,0.2,0.0,0.1,0.4,0,0,-2.23,1.80,1.07,1.54,6.14,0,0
468,Tucupita Marcano,SDP,-1.1,0.3,0,0.0,-0.2,0,0,-2.85,2.69,0,-1.02,-4.43,0,0
469,John Gant,STL,-1.1,-0.2,-0.3,-0.2,-0.1,0,0,-9.60,-21.32,-4.78,-8.62,-13.58,0,0
470,Daniel Castano,MIA,-1.1,0,0,0,0,0,0,-8.95,0,0,0,0,0,0
471,Bryse Wilson,ATL,-1.1,-0.3,-0.4,-0.2,0,0,0,-5.43,-13.51,-18.36,-16.74,0,0,0
472,Austin Nola,SDP,-1.1,-0.2,-0.3,-0.2,0.6,-0.1,0,-2.12,-1.03,-5.58,-5.06,8.05,-2.37,0
473,Trevor Larnach,MIN,-1.1,0.8,0,0.1,-0.4,0,0,-6.90,25.05,0,9.15,-3.29,0,0
474,Darin Ruf,SFG,-1.1,2.1,-0.1,0.4,-0.1,1.3,0,-0.78,3.39,-0.66,2.11,-0.52,22.22,0
475,Blake Snell,SDP,-1.1,-0.2,-0.3,0.0,0,0,0,-7.00,-7.25,-11.33,2.72,0,0,0
476,Alec Mills,CHC,-1.1,-0.2,0,0,0,0,0,-5.92,-4.33,0,0,0,0,0
477,Aledmys Diaz,HOU,-1.1,1.3,-1.9,1.5,1.1,-0.4,0,-0.89,2.26,-8.12,5.63,4.11,-12.58,0
478,Aaron Sanchez,SFG,-1.1,-0.5,-0.1,-0.2,-0.4,0,0,-5.46,-11.74,-2.10,-16.74,-9.38,0,0
479,German Marquez,COL,-1.2,-0.5,-0.3,-0.5,0.0,0,0,-6.47,-9.02,-16.25,-7.81,-1.60,0,0
480,Trevor Williams,CHC,-1.2,-0.6,0,0,0.7,0,0,-3.80,-8.08,0,0,21.98,0,0
481,Drew Smyly,ATL,-1.2,0,-0.1,-0.4,0,0,0,-5.62,0,-2.18,-9.62,0,0,0
482,Jose Trevino,TEX,-1.2,-0.5,0.4,0.0,-3.3,-0.6,0,-0.89,-0.64,1.50,0.11,-6.19,-11.13,0
483,Jake Arrieta,CHC,-1.2,-0.1,-0.5,-0.2,0.0,-0.1,0,-4.27,-4.91,-5.80,-4.69,-1.83,-5.69,0
484,Johan Camargo,ATL,-1.2,-0.9,-0.3,-0.3,0.0,0,0,-3.46,-8.74,-16.08,-4.46,0.50,0,0
485,Dustin Fowler,PIT,-1.2,-1.1,-0.1,-1.4,0.2,-0.2,0,-1.34,-5.60,-0.78,-4.90,0.78,-4.81,0
486,Zach Eflin,PHI,-1.2,-0.4,-0.4,-0.7,-0.1,0,0,-3.52,-5.90,-4.50,-6.61,-5.69,0,0
487,Wil Myers,SDP,-1.2,3.1,-0.2,-0.1,-0.9,0.7,0,-0.52,2.12,-1.42,-0.21,-2.92,11.75,0
488,Jon Gray,COL,-1.2,-0.2,1.1,-0.6,0,0,0,-3.65,-2.43,13.88,-7.47,0,0,0
489,Ben Rortvedt,MIN,-1.3,-0.2,-0.3,-0.1,-0.5,0,0,-3.24,-0.95,-5.66,-1.13,-3.63,0,0
490,Tyler O'Neill,STL,-1.3,3.6,-0.4,-0.6,-0.2,0.2,0,-0.79,4.28,-3.27,-2.11,-1.03,5.82,0
491,Zac Gallen,ARI,-1.3,0.0,0,-0.3,0,0,0,-3.52,0.33,0,-10.31,0,0,0
492,Taylor Trammell,SEA,-1.3,-0.2,1.1,-0.1,-2.0,-0.6,0,-0.70,-0.32,4.20,-0.26,-3.00,-4.85,0
493,Michael Conforto,NYM,-1.3,2.0,1.2,-0.6,-0.7,1.5,0,-0.51,2.65,4.83,-1.23,-0.91,75.15,0
494,Justin Williams,STL,-1.3,-2.3,0.3,-0.6,1.3,-0.7,0,-0.83,-4.94,1.15,-1.53,3.13,-6.13,0
495,DJ Peters,LAD,-1.3,0.7,-0.2,0.2,0.1,0.1,0,-3.29,74.61,-21.25,8.12,3.10,9.15,0
496,John Nogowski,STL,-1.3,-0.5,-0.2,0.0,0.1,-0.2,0,-5.06,-5.16,-2.90,0.27,3.84,-8.05,0
497,Max Kepler,MIN,-1.3,0.4,0.1,-1.4,0.4,-0.1,0,-0.74,0.65,0.87,-3.62,0.71,-2.19,0
498,Rowdy Tellez,TOR,-1.3,-0.4,-0.9,0.4,-1.4,-0.4,0,-0.88,-1.01,-7.17,1.46,-2.66,-7.28,0
499,Alex Avila,WSN,-1.3,0.3,-0.8,0.5,0.2,0,0,-3.12,1.55,-5.36,4.81,0.95,0,0
500,Phil Gosselin,LAA,-1.4,0.2,0.9,0.0,0.2,0,0,-2.88,0.58,9.06,1.00,3.39,0,0
501,Miguel Andujar,NYY,-1.4,-0.3,-0.3,-0.2,0,0,0,-6.47,-4.97,-33.31,-16.74,0,0,0
502,Austin Hedges,CLE,-1.4,-2.9,0.8,0.0,-0.5,-0.4,0,-1.47,-6.12,12.01,-0.45,-10.69,-6.42,0
503,Jose Devers,MIA,-1.4,0.0,0.0,0.0,0.1,-0.4,0,-4.43,-4.00,1.01,0.05,0.66,-4.20,0
504,David Dahl,TEX,-1.4,-1.7,-0.4,0.8,0.5,-1.1,0,-0.68,-1.82,-1.71,1.63,0.80,-6.76,0
505,Jon Jay,LAA,-1.4,-0.3,0,0.5,0.5,0,0,-4.77,-3.13,0,24.96,50.61,0,0
506,Brandon Belt,SFG,-1.4,2.2,1.4,4.5,-1.0,0,0,-0.52,1.82,5.10,7.83,-1.76,0,0
507,Pablo Reyes,MIL,-1.4,-0.9,0.7,-0.3,-0.2,0.1,0,-3.35,-3.21,23.83,-5.39,-1.57,9.65,0
508,Jonah Heim,TEX,-1.4,-0.7,0.2,-1.0,-2.4,-0.2,0,-1.13,-2.32,1.21,-4.32,-8.36,-3.70,0
509,Mickey Moniak,PHI,-1.4,-1.0,0,-0.3,0.7,-0.4,0,-3.26,-3.38,0,-3.53,3.25,-13.06,0
510,Alex Jackson,ATL,-1.4,-0.3,-0.3,-0.6,-0.7,0,0,-2.62,-2.39,-5.48,-3.90,-8.34,0,0
511,D.J. Stewart,BAL,-1.4,-0.2,-0.6,-0.4,1.8,-0.3,0,-0.69,-0.56,-3.41,-1.02,4.27,-7.93,0
512,Tommy La Stella,SFG,-1.4,0.3,-0.3,-0.1,2.0,0.0,0,-0.78,0.57,-1.57,-0.60,4.59,-0.44,0
513,Austin Romine,CHC,-1.4,0.6,-0.2,0,-0.2,0,0,-9.62,18.89,-4.85,0,-15.63,0,0
514,Ben Gamel,- - -,-1.4,-0.8,-0.1,0.0,-0.5,0,0,-2.73,-4.12,-7.13,-1.54,-5.92,0,0
515,David Peterson,NYM,-1.4,0,0,-0.5,-0.4,0,0,-4.99,0,0,-5.91,-6.28,0,0
516,Anthony DeSclafani,SFG,-1.5,-1.2,0,0.0,-0.2,0,0,-3.22,-9.25,0,0.74,-18.14,0,0
517,Roberto Perez,CLE,-1.5,0.0,-0.2,-1.6,0.1,-0.1,0,-0.87,0.02,-1.46,-5.78,0.43,-2.71,0
518,Victor Caratini,SDP,-1.5,1.0,-0.4,0.7,-0.2,-0.2,0,-0.93,1.41,-2.51,1.53,-0.28,-4.51,0
519,Marcell Ozuna,ATL,-1.5,-3.7,0.3,-1.7,-0.2,0.1,0,-0.53,-3.56,0.79,-3.01,-0.32,3.39,0
520,Hunter Renfroe,BOS,-1.5,2.0,-1.3,1.0,-2.3,-0.2,-0.1,-0.78,2.34,-4.54,2.84,-4.52,-3.43,-4.85
521,Clayton Kershaw,LAD,-1.5,-0.2,0.4,0.9,0,0,0,-4.29,-4.81,3.58,13.38,0,0,0
522,Austin Barnes,LAD,-1.5,-0.8,-0.3,-0.1,-0.2,0,0,-1.08,-1.38,-1.16,-0.28,-4.45,0,0
523,Myles Straw,HOU,-1.5,0.7,-2.2,-1.8,-0.5,-0.4,0,-0.48,0.76,-4.77,-3.76,-0.92,-13.74,0
524,Luis Torrens,SEA,-1.5,-1.9,0.3,0.7,-1.7,-0.4,0,-0.97,-2.40,2.09,2.27,-5.54,-9.00,0
525,Geraldo Perdomo,ARI,-1.5,0.4,0,0.3,-0.4,0,0,-5.88,4.09,0,5.35,-7.94,0,0
526,Manny Machado,SDP,-1.5,1.0,0.6,0.2,1.3,-0.6,0,-0.56,0.60,2.69,0.48,3.30,-8.27,0
527,Alex Blandino,CIN,-1.5,2.1,-0.8,1.2,0.0,0.2,0,-1.41,5.10,-14.01,6.92,-0.64,4.09,0
528,Aaron Hicks,NYY,-1.5,0.3,-1.1,-1.3,-0.7,1.1,0,-0.62,0.70,-2.86,-1.99,-0.84,9.80,0
529,Luis Castillo,CIN,-1.5,0.0,0,0.9,0,-0.2,0,-9.67,0.08,0,85.67,0,-11.22,0
530,Sebastian Rivero,KCR,-1.6,0.5,0,0,0,0,0,-9.74,5.40,0,0,0,0,0
531,James McCann,NYM,-1.6,-1.9,-2.7,0.2,-2.0,0.0,0,-0.72,-3.19,-9.46,1.39,-9.79,-0.32,0
532,Joe Panik,TOR,-1.6,0.4,-1.2,-0.7,-0.4,0.0,0,-1.38,1.28,-10.16,-3.12,-1.53,0.24,0
533,Vimael Machin,OAK,-1.6,-0.5,-0.9,-0.4,-0.2,-0.6,0,-4.74,-3.01,-10.54,-4.54,-4.74,-31.94,0
534,Julio Urias,LAD,-1.6,-0.5,0,-0.1,0,0,0,-4.50,-7.53,0,-4.24,0,0,0
535,Chad Kuhl,PIT,-1.6,0.0,0,0,0,0,0,-13.17,2.03,0,0,0,0,0
536,Albert Pujols,LAA,-1.6,-3.2,0.8,-0.3,-0.7,-0.2,0,-0.94,-2.82,9.69,-0.86,-2.29,-18.77,0
537,Starlin Castro,WSN,-1.6,3.7,-0.9,0.0,-1.1,0,0,-0.68,3.57,-3.53,0.00,-2.80,0,0
538,Charlie Culberson,TEX,-1.6,1.7,1.6,-0.6,1.1,-0.3,0,-1.13,2.71,4.81,-1.85,2.10,-3.62,0
539,Jose Marmolejos,SEA,-1.6,-0.9,1.4,-0.3,0.1,0.3,0,-0.96,-3.05,8.67,-0.88,0.16,2.57,0
540,Luis Rengifo,LAA,-1.6,-0.1,-0.1,0,-1.0,0,0,-4.93,-1.23,-2.60,0,-9.77,0,0
541,Sandy Leon,MIA,-1.6,0.5,-0.5,-0.6,-1.7,0.0,0,-1.54,2.07,-3.93,-3.75,-4.79,-0.31,0
542,Mike Ford,NYY,-1.6,-0.5,-0.1,-0.4,0.2,-0.1,0,-1.89,-2.55,-1.06,-1.16,0.74,-3.22,0
543,Trevor Bauer,LAD,-1.7,-0.2,-0.1,-0.1,0,0,0,-3.46,-2.87,-4.85,-6.78,0,0,0
544,Chase Anderson,PHI,-1.7,-0.6,0.0,0,0.0,0,0,-6.64,-5.86,-4.00,0,1.98,0,0
545,Gary Sanchez,NYY,-1.7,1.5,0.3,-0.4,0.8,-0.1,0,-0.92,2.30,0.62,-1.03,2.56,-4.76,0
546,Tony Wolters,CHC,-1.7,0.2,0.1,0.1,-0.4,-0.2,0,-2.62,1.41,1.73,0.70,-4.40,-21.96,0
547,Yu Darvish,SDP,-1.7,-1.5,0,-0.8,-0.1,0,0,-5.24,-10.52,0,-6.99,-5.69,0,0
548,Brent Rooker,MIN,-1.7,-1.2,-0.2,-0.2,-0.3,0,0,-2.95,-3.88,-1.52,-4.55,-3.72,0,0
549,Brett Anderson,MIL,-1.7,0,0.3,-0.2,-0.8,0,0,-8.18,0,27.40,-7.48,-38.48,0,0
550,Antonio Senzatela,COL,-1.7,-0.2,0.0,-0.4,-0.2,0,0,-6.94,-4.34,0.00,-5.94,-16.74,0,0
551,Scott Schebler,LAA,-1.8,-1.7,-0.1,-0.4,0.8,0,0,-4.76,-9.91,-2.81,-2.15,6.65,0,0
552,Eric Sogard,CHC,-1.8,0.2,0.1,-0.8,0.6,0.6,0,-1.15,1.20,1.95,-2.48,1.80,56.30,0
553,Cam Gallagher,KCR,-1.8,0.0,-0.3,-0.2,-0.4,0.0,0,-6.35,0.11,-10.00,-1.19,-8.96,2.72,0
554,Andres Gimenez,CLE,-1.8,0.3,-0.4,-1.4,-1.0,-0.2,0,-1.10,0.57,-5.61,-3.43,-2.80,-3.61,0
555,Kyle Isbel,KCR,-1.8,0.9,-0.9,-0.4,1.9,0,0,-2.16,4.47,-8.27,-1.57,12.63,0,0
556,Marcus Stroman,NYM,-1.8,0.0,0.6,-0.7,-0.2,0,0,-6.00,-1.83,27.62,-6.76,-9.38,0,0
557,Chris Paddack,SDP,-1.8,-0.3,-0.3,0,0,0,0,-7.22,-6.45,-5.56,0,0,0,0
558,Tyler Anderson,PIT,-1.8,-0.6,-0.4,0.1,-0.4,0,0,-5.72,-8.59,-6.08,0.95,-11.82,0,0
559,Andrew McCutchen,PHI,-1.8,-0.7,1.2,2.4,-0.5,0.0,0,-0.65,-0.53,4.03,5.25,-1.19,-0.06,0
560,Max Stassi,LAA,-1.8,-0.3,-0.1,0.5,1.1,0,0,-2.43,-0.96,-1.67,5.89,9.66,0,0
561,Josh VanMeter,ARI,-1.9,0.7,1.6,-0.3,-0.5,0.0,0,-1.33,1.18,7.94,-1.11,-0.96,-1.60,0
562,Alan Trejo,COL,-1.9,-0.5,0.0,0.3,0.2,0,0,-4.48,-2.46,-0.22,3.75,1.63,0,0
563,Travis Shaw,MIL,-1.9,0.1,2.1,1.9,-0.1,0.1,0,-0.66,0.06,7.78,3.19,-0.21,9.15,0
564,Tyler Mahle,CIN,-1.9,-1.0,0,0.3,0,0,0,-4.75,-14.64,0,6.50,0,0,0
565,Max Scherzer,WSN,-1.9,-0.3,0,-0.2,-0.2,0,0,-7.39,-5.39,0,-16.11,-3.37,0,0
566,Adam Wainwright,STL,-1.9,-1.1,-0.1,-0.2,-0.1,0,0,-9.18,-9.97,-5.20,-3.00,-11.55,0,0
567,William Contreras,ATL,-1.9,1.7,0.1,-0.6,-0.5,-0.3,0,-2.93,9.04,1.15,-3.26,-13.70,-6.61,0
568,Joe Musgrove,SDP,-2.0,-0.2,-0.2,0.0,0.0,0.0,0,-5.95,-2.37,-8.05,-0.32,-0.64,3.19,0
569,Scott Kingery,PHI,-2.0,-0.3,0.0,0.1,-0.5,0,0,-6.88,-2.84,0.52,3.69,-8.66,0,0
570,Ronald Guzman,TEX,-2.0,0.1,1.2,-0.5,-0.8,0,0,-5.55,1.30,19.59,-4.32,-9.65,0,0
571,Jay Bruce,NYY,-2.0,-1.1,-0.8,-0.7,1.2,-0.2,0,-2.36,-4.92,-4.25,-4.87,5.63,-8.18,0
572,Miguel Cabrera,DET,-2.0,-2.9,-1.2,0.4,-0.6,-0.7,0,-1.18,-3.31,-6.69,1.00,-2.03,-7.33,0
573,Walker Buehler,LAD,-2.1,-0.7,-0.3,-0.2,0.0,0,0,-4.28,-8.92,-6.61,-10.63,2.72,0,0
574,Mike Brosseau,TBR,-2.1,-1.1,-1.2,2.4,-0.9,0,0,-1.24,-1.77,-3.37,7.15,-1.85,0,0
575,Trevor Rogers,MIA,-2.1,-0.1,-0.5,0.0,-0.5,0,0,-8.13,-4.81,-6.81,2.72,-5.68,0,0
576,Brett Gardner,NYY,-2.1,0.1,-1.3,-0.9,0.5,-0.1,0,-1.17,0.38,-3.55,-2.60,1.55,-1.78,0
577,Eli White,TEX,-2.1,-1.3,-2.0,-0.5,-1.0,-0.5,0,-1.93,-2.93,-5.96,-2.23,-3.14,-13.57,0
578,Adam Duvall,MIA,-2.1,0.6,0.4,1.4,-2.5,-0.5,0,-0.95,0.43,2.02,2.90,-4.29,-10.10,0
579,Jacob Nottingham,MIL,-2.1,1.1,0.0,1.1,0.6,0,0,-5.36,17.86,-0.22,22.75,10.74,0,0
580,Marwin Gonzalez,BOS,-2.2,-1.9,0.7,0.8,-0.7,0.2,0,-0.94,-2.85,2.49,1.24,-0.81,1.35,0
581,Manuel Margot,TBR,-2.2,-0.4,-0.5,-0.1,2.9,-0.3,0,-0.93,-0.48,-2.13,-0.17,5.74,-8.54,0
582,Billy Hamilton,CHW,-2.2,-0.9,0.2,-0.3,0.0,-0.2,0,-4.24,-4.24,3.12,-2.73,1.07,-10.98,0
583,Gleyber Torres,NYY,-2.3,-0.8,-1.9,0.8,0.7,0.2,0,-0.85,-0.77,-2.56,1.43,1.05,4.59,0
584,Mauricio Dubon,SFG,-2.3,1.8,0.1,-2.0,-0.6,0.0,0,-1.89,3.01,0.56,-7.91,-2.44,0.61,0
585,Jose Abreu,CHW,-2.3,5.5,-1.4,-1.2,1.0,-0.3,0,-0.78,3.32,-6.17,-1.84,3.08,-1.99,0
586,Daniel Robertson,MIL,-2.3,-0.7,-0.4,-0.9,-1.2,0,0,-2.64,-1.71,-3.22,-4.78,-9.67,0,0
587,Rio Ruiz,BAL,-2.4,-1.3,-0.4,-0.1,-2.4,0.0,0,-1.30,-2.11,-2.00,-0.25,-4.87,0.00,0
588,Andrew Knizner,STL,-2.4,-0.3,0.3,-0.3,0.4,-0.4,0,-2.08,-0.65,2.79,-1.37,1.90,-19.25,0
589,Taijuan Walker,NYM,-2.5,-0.5,-0.4,-0.2,0,0,0,-6.67,-4.27,-6.22,-8.02,0,0,0
590,Nomar Mazara,DET,-2.5,0.1,-0.6,-1.6,2.1,0.6,0,-2.71,0.40,-6.07,-4.33,7.16,10.18,0
591,Todd Frazier,PIT,-2.5,-0.9,-0.3,0.6,-0.1,-0.3,0,-3.12,-2.07,-8.34,4.78,-0.87,-4.94,0
592,Nick Ahmed,ARI,-2.5,-0.1,-1.5,0.7,0.5,0,0,-1.39,-0.09,-4.98,3.01,1.39,0,0
593,Sam Hilliard,COL,-2.6,-0.1,-0.6,-1.0,1.7,-0.4,0,-3.47,-0.78,-3.57,-6.67,10.22,-7.00,0
594,Luis Campusano,SDP,-2.6,-2.1,-0.1,-0.3,0.0,-0.2,0,-3.19,-6.80,-2.34,-1.99,0.00,-3.42,0
595,Kyle Hendricks,CHC,-2.6,-0.1,-0.1,0,0.0,0,0,-8.68,-1.39,-5.69,0,3.19,0,0
596,Mike Tauchman,- - -,-2.6,-0.3,0.9,1.5,0.7,-0.3,0,-1.74,-0.64,4.47,3.52,3.78,-10.43,0
597,Maikel Franco,BAL,-2.6,0.5,1.5,-0.6,-2.7,-0.4,0,-1.21,0.37,3.80,-1.19,-3.85,-6.19,0
598,Jacob Stallings,PIT,-2.7,2.1,3.7,-1.8,2.5,0.2,0,-1.13,2.35,14.61,-5.39,7.26,5.34,0
599,Anthony Alford,PIT,-2.7,0.5,0.3,0.1,-1.7,0,0,-3.66,3.22,2.16,0.56,-9.61,0,0
600,Bo Bichette,TOR,-2.8,2.6,0.9,1.7,0.6,-0.3,0,-0.96,1.85,1.70,2.86,1.18,-31.11,0
601,Albert Almora Jr.,NYM,-2.8,-0.6,-0.3,-0.1,-0.4,0.0,0,-5.77,-3.65,-7.11,-1.24,-6.00,3.39,0
602,Victor Reyes,DET,-2.8,0.2,-0.3,-1.0,-1.1,-0.5,0,-1.90,0.59,-1.39,-2.99,-6.84,-6.96,0
603,Sam Haggerty,SEA,-2.9,1.0,-0.9,0.7,-0.7,-0.5,0,-1.94,3.16,-5.33,3.37,-1.59,-10.36,0
604,Merrill Kelly,ARI,-2.9,-0.4,0,-0.1,-0.2,0,0,-7.04,-9.13,0,-7.36,-4.20,0,0
605,Clint Frazier,NYY,-2.9,-0.8,-1.3,1.1,-1.5,0.3,0,-1.23,-1.06,-2.40,2.95,-2.76,8.34,0
606,Stephen Piscotty,OAK,-3.0,-0.2,0.6,0.0,1.2,-0.1,0,-2.20,-0.21,1.73,-0.11,4.00,-2.07,0
607,Mike Moustakas,CIN,-3.0,-0.1,0.5,0.7,1.1,-0.2,0,-1.75,-0.20,2.24,1.61,2.51,-1.71,0
608,Chance Sisco,BAL,-3.1,-1.6,-0.2,0.7,0.5,-0.2,0,-3.57,-9.72,-0.96,4.95,5.07,-7.69,0
609,Matt Joyce,PHI,-3.1,-0.7,0.3,0.0,0.4,0.2,0,-3.87,-2.52,1.75,0.26,1.94,4.72,0
610,Phillip Evans,PIT,-3.2,3.0,0.1,-0.6,1.4,0.2,0,-1.28,2.42,0.16,-1.41,5.13,4.08,0
611,Tommy Pham,SDP,-3.3,-1.5,-0.1,0.3,0.9,0.5,0,-1.28,-1.25,-0.54,0.78,3.72,8.03,0
612,Colin Moran,PIT,-3.3,5.2,0.5,-0.9,3.5,-0.3,0,-1.22,7.18,1.61,-2.32,6.67,-4.28,0
613,Michael A. Taylor,KCR,-3.3,0.8,-0.1,-1.1,-0.2,0.7,0,-1.43,0.79,-0.74,-2.07,-0.40,24.94,0
614,Franchy Cordero,BOS,-3.5,-0.8,1.5,-1.1,-1.3,0.0,-0.3,-1.99,-2.58,6.37,-4.64,-2.00,0.59,-8.81
